year;month;male;female;total
2018;January;33450 ;31952 ;65402 
2018;February;29978 ;28511 ;58489 
2018;March;32749 ;30890 ;63639 
2018;April;31825 ;30316 ;62141 
2018;May;34494 ;32899 ;67393 
2018;June;35195 ;33110 ;68305 
2018;July;37972 ;35617 ;73589 
2018;August;36487 ;34979 ;71466 
2018;September;36185 ;33980 ;70165 
2018;October;34474 ;32641 ;67115 
2018;November;30619 ;29510 ;60129 
2018;December;30624 ;29066 ;59690 
2019;January;32598 ;30677 ;63275 
2019;February;29273 ;27911 ;57184 
2019;March;31703 ;29976 ;61679 
2019;April;32130 ;30504 ;62634 
2019;May;33313 ;31629 ;64942 
2019;June;34383 ;32333 ;66716 
2019;July;37427 ;35233 ;72660 
2019;August;36727 ;34835 ;71562 
2019;September;36021 ;34036 ;70057 
2019;October;34043 ;32787 ;66830 
2019;November;30936 ;29624 ;60560 
2019;December;30738 ;29253 ;59991 
2020;January;32664 ;31049 ;63713 
2020;February;30188 ;28512 ;58700 
2020;March;31646 ;30584 ;62230 
2020;April;31404 ;29835 ;61239 
2020;May;33457 ;31247 ;64704 
2020;June;33916 ;32194 ;66110 
2020;July;36626 ;34436 ;71062 
2020;August;35892 ;33800 ;69692 
2020;September;35924 ;33533 ;69457 
2020;October;33855 ;32164 ;66019 
2020;November;30461 ;29041 ;59502 
2020;December;31352 ;29364 ;60716 
2021;January;32883 ;31442 ;64325 
2021;February;31076 ;29519 ;60595 
2021;March;34538 ;32522 ;67060 
2021;April;32571 ;31030 ;63601 
2021;May;33551 ;31197 ;64748 
2021;June;33878 ;32107 ;65985 
2021;July;37240 ;35027 ;72267 
2021;August;37184 ;35358 ;72542 
2021;September;36519 ;34843 ;71362 
2021;October;35332 ;33490 ;68822 
2021;November;32271 ;30624 ;62895 
2021;December;31431 ;29859 ;61290 
2022;January;30022 ;28387 ;58409 
2022;February;27519 ;26198 ;53717 
2022;March;29753 ;28378 ;58131 
2022;April;29589 ;27855 ;57444 
2022;May;33248 ;31830 ;65078 
2022;June;33111 ;31553 ;64664 
2022;July;35139 ;33244 ;68383 
2022;August;34909 ;33037 ;67946 
2022;September;34419 ;32511 ;66930 
